26.75,22.15,0
29.8,22.15,1
31.55,21.1,2
27.7,20.85,3
29.9,19.95,4
26.8,19.05,5
28.35,18.25,6
30.4,17.85,7
27.25,16.7,8
29.05,16,9
27.15,14.85,10
28.2,13.95,11
30.35,13.85,12
27.25,11.95,13
29.45,12.05,14
31.55,12.2,15
33.05,10.65,16
29.95,9.85,17
28,9.75,18
27.15,7.85,19
29.15,8.1,20
31.95,8.6,21
34.7,8.55,22
34.8,12.25,23
36.3,15.25,24
36.6,13.2,25
38.7,14.25,26
40.3,15.5,27
42.25,14.25,28
40.7,12.8,29
38.6,12.1,30
36.1,10.5,31
38.35,10.4,32
37.65,8.4,33
40.15,8.55,34
40.8,10.65,35
42.9,11.25,36
41.95,8.5,37
42.45,17.45,38
40.25,18.45,39
42.55,19.45,40
40.95,20.65,41
42.25,22.15,42
38.85,22.4,43
38.4,20,44
35.25,20.2,45
33.25,21,46
34.15,22.35,47
35.55,22.5,48
36.55,21.4,49
33.35,19.6,50
32.85,19.55,51
32.4,19.15,52
32.45,18.7,53
32.8,18.9,54
33.2,19.2,55
33.7,19.05,56
33.4,18.75,57
33.05,18.5,58
32.8,18.2,59
34,18.7,60
33.85,18.25,61
33.35,18.15,62
32.8,17.7,63
33.15,17.55,64
33.75,17.75,65
34.15,17.85,66
34.35,18.35,67
34.95,18.5,68
34.75,18.05,69
35.15,18.05,70
35.65,18.15,71
35.45,18.7,72
36.05,18.75,73
36.25,18.2,74
36.6,18.7,75
37.1,18.5,76
36.75,18.1,77
37.65,18.3,78
37.15,17.85,79
37.65,17.75,80
38.05,18.1,81
38.45,17.7,82
38.8,17.3,83
38.2,17.25,84
38.6,16.8,85
38.25,16.35,86
37.9,16.85,87
37.5,17.3,88
37.65,16.4,89
37.15,16.7,90
37,17.15,91
36.6,17.4,92
36.15,17.55,93
35.75,17.65,94
36.6,16.9,95
36.05,16.95,96
35.45,17,97
35.3,17.55,98
34.9,17,99
34.75,17.45,100
34.3,17.35,101
34.3,16.8,102
33.9,17.2,103
33.35,17.05,104
32.85,16.95,105
33.55,16.6,106
34,16.4,107
32.45,17.2,108
32.1,16.85,109
31.7,16.65,110
31.2,16.35,111
30.95,15.75,112
31.15,15.35,113
31.45,15.1,114
31.75,14.7,115
32.15,14.35,116
32.65,14.15,117
33.15,14.05,118
33.8,13.9,119
34.35,14.2,120
34.3,14.85,121
34.05,15.35,122
33.9,15.95,123
33.35,16.05,124
33,16.5,125
